playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
bechtge01,1871,1,PH1,NA,1,2,3,3,2,0,0,78,43,23,0,11,1,,7.96,,7,,0,146,0,42,,,
brainas01,1871,1,WS3,NA,12,15,30,30,30,0,0,792,361,132,4,37,13,,4.50,,7,,0,1291,0,292,,,
fergubo01,1871,1,NY2,NA,0,0,1,0,0,0,0,3,8,3,0,0,0,,27.00,,2,,0,14,0,9,,,
fishech01,1871,1,RC1,NA,4,16,24,24,22,1,0,639,295,103,3,31,15,,4.35,,20,,0,1080,1,257,,,
fleetfr01,1871,1,NY2,NA,0,1,1,1,1,0,0,27,20,10,0,3,0,,10.00,,0,,0,57,0,21,,,
flowedi01,1871,1,TRO,NA,0,0,1,0,0,0,0,3,1,0,0,0,0,,0.00,,0,,0,3,1,0,,,
mackde01,1871,1,RC1,NA,0,1,3,1,1,0,0,39,20,5,0,3,1,,3.46,,1,,0,70,1,30,,,
mathebo01,1871,1,FW1,NA,6,11,19,19,19,1,0,507,261,97,5,21,17,,5.17,,15,,2,876,0,243,,,
mcbridi01,1871,1,PH1,NA,18,5,25,25,25,0,0,666,285,113,3,40,15,,4.58,,3,,0,1059,0,223,,,
mcmuljo01,1871,1,TRO,NA,12,15,29,29,28,0,0,747,430,153,4,75,12,,5.53,,44,,0,1334,0,362,,,
meyerle01,1871,1,PH1,NA,0,0,1,0,0,0,0,3,1,1,0,2,0,,9.00,,1,,0,6,1,1,,,
paborch01,1871,1,CL1,NA,0,2,7,1,1,0,0,88,50,22,4,6,0,,6.75,,2,,0,160,5,53,,,
pinkhed01,1871,1,CH1,NA,1,0,3,0,0,0,1,31,10,4,0,3,0,,3.48,,5,,0,51,3,8,,,
prattal01,1871,1,CL1,NA,10,17,28,28,22,0,0,674,296,94,9,47,34,,3.77,,48,,0,1117,1,288,,,
spaldal01,1871,1,BS1,NA,19,10,31,31,22,1,0,772,333,96,2,38,23,,3.36,,11,,0,1279,3,272,,,
stearbi01,1871,1,WS3,NA,2,0,2,2,2,0,0,54,10,5,0,8,0,,2.50,,0,,0,75,0,11,,,
woltery01,1871,1,NY2,NA,16,16,32,32,31,1,0,849,345,108,7,39,22,,3.43,,15,,0,1349,1,283,,,
wrighha01,1871,1,BS1,NA,1,0,9,0,0,0,3,56,34,13,0,4,0,,6.27,,3,,0,105,6,31,,,
zettlge01,1871,1,CH1,NA,18,9,28,28,25,0,0,722,298,73,6,25,22,,2.73,,24,,0,1143,0,233,,,
bentlcy01,1872,1,MID,NA,2,15,18,17,14,0,0,432,259,97,4,12,5,,6.06,,6,,0,794,1,253,,,
brainas01,1872,1,WS3,NA,2,7,9,9,9,0,0,237,148,56,0,5,1,,6.38,,12,,0,449,0,140,,,
brainas01,1872,2,MID,NA,0,2,2,2,1,0,0,24,13,5,1,0,0,,5.63,,0,,0,50,0,17,,,
brittji01,1872,1,BR2,NA,9,28,37,37,37,0,0,1008,568,169,6,21,13,,4.53,,26,,1,1762,0,473,,,
